text,label
"The product arrived late, and the customer service was unhelpful.",0
"The app is fast, reliable, and easy to navigate.",4
"The food was decent, but the portions were small.",2
Amazing support team! They resolved my issue immediately.,4
The product feels sturdy and built to last.,4
The experience was underwhelming and not worth the money.,1
"The delivery was seamless, and the product exceeded expectations.",4
"The waitstaff were inattentive, and the food took forever to arrive.",1
"The product does what it says, but it’s nothing special.",2
The product was exactly as described and works perfectly.,4
I wouldn’t recommend this to anyone. Complete waste of money.,0
"The staff was attentive, and the food was absolutely delicious.",4
The app has great features but needs better documentation.,2
The product is lightweight and easy to carry. I love it!,4
"The delivery process was smooth, but the item was faulty.",2
Excellent customer service and high-quality products.,4
"The service was below average, and the ambiance was lacking.",1
"It’s a decent app, but there are better options available.",2
"The portions were generous, and the prices were reasonable.",3
"The product came with missing parts, which was very frustrating.",0
"The experience was average, but the staff were polite.",3
I’m very satisfied with the purchase. Everything works flawlessly.,4
The user interface is outdated and hard to navigate.,1
"The food tasted great, and the service was top-notch.",4
"The product looks good, but its performance is subpar.",2
The staff ignored my concerns and were very dismissive.,0
Highly recommend! The quality is unmatched at this price.,4
The app works well but has occasional bugs.,3
"The atmosphere was pleasant, and the service was prompt.",4
The product broke within a day of use. Very disappointing.,0
"The app’s performance is exceptional, and it’s very intuitive.",4
"The wait time was too long, and the staff were rude.",1
The design of the product is innovative and very practical.,4
"The food was fine, but it wasn’t worth the high price.",1
"The restaurant was clean, and the staff were very friendly.",4
The product did not meet expectations and feels cheaply made.,1
I’m amazed by the quality of this product. Fantastic purchase!,4
"The app’s layout is confusing, and it’s hard to find key features.",1
The customer service was exceptional and resolved my issue quickly.,4
"The portions were small, but the flavours were excellent.",3
The product is overpriced and lacks durability.,1
The app has an excellent design and works flawlessly.,4
"The product is functional, but the instructions were unclear.",2
"The food was burnt, and the service was incredibly slow.",0
The product exceeded all my expectations. A great buy!,4
"The app crashes often, making it almost unusable.",0
"The service was impeccable, and the staff were very professional.",4
"The packaging was poor, but the product itself is fantastic.",3
"I wouldn't even let my dog eat this.",0
This would be a waste of space for my rubbish bin,0
"The delivery was delayed, and the item arrived damaged.",0
"The item is decent, but it doesn't justify the high price.",2
"The website is user-friendly and provides a great experience.",4
"The product broke within a week of use, very disappointing.",0
"The food was acceptable, but the drinks were overpriced.",2
"The experience was delightful, and the staff were very welcoming.",4
"The app is okay but lacks key features compared to its competitors.",2
"I love the sleek design and functionality of this device!",4
"The colour faded after just one wash. Poor quality.",1
"The hotel stay was enjoyable, but the rooms were a bit outdated.",3
"The return process was a nightmare, and I never got my refund.",0
"The shoes are comfortable, but the stitching is already coming apart.",2
"This is the best movie I’ve seen all year. Absolutely fantastic!",4
"The charger stopped working after a week. Waste of money.",0
"The restaurant’s ambience was lovely, but the food was mediocre.",2
"The new update makes the app so much faster and easier to use!",4
"The fabric feels cheap, and the seams started to fray immediately.",1
"The team went above and beyond to ensure my satisfaction. Amazing!",4
"The flight was delayed, and the seats were uncomfortable.",1
"The decor was stunning, and the service made the experience even better.",4
"The laptop is functional, but the battery life is disappointing.",2
"The cake was stale, and the frosting tasted artificial.",0
"This is a groundbreaking product that has made my life easier.",4
"The paint started peeling after a few days. Extremely disappointing.",1
"The store had a wide selection, and the staff were very knowledgeable.",4
"The device works, but the setup process was unnecessarily complicated.",2
"The bag is durable and stylish. I highly recommend it.",4
"The book’s plot was predictable, but the writing style was good.",3
"The meal was overpriced, and the portions were tiny.",1
"The tutorial was clear, and I was able to learn the software quickly.",4
"The customer support team ignored my emails. Very frustrating.",0
"The jacket fits perfectly, and the material feels premium.",4
"The shipping was fast, but the packaging was torn on arrival.",2
"The device overheats constantly and shuts down. Unusable.",0
"The presentation was informative, but it lacked engagement.",2
"The event was well-organised, and the speakers were inspiring.",4
"The earbuds are decent for the price, but the bass is lacking.",2
"The hotel staff were rude, and the room was dirty.",0
"The smartphone has an excellent camera and superb battery life.",4
"The dessert was too sweet, but the main course was delicious.",3
"The instructions were confusing, and it took forever to assemble.",1
"The subscription service offers great value and useful features.",4
"The curtains are beautiful, but they let in too much light.",2
"The sound quality is poor, and the headphones feel uncomfortable.",1
"The repair service was quick and solved my issue efficiently.",4
"The software is buggy, and I’ve encountered constant crashes.",0
"The coffee machine is compact, stylish, and makes great coffee.",4
"The quality of the material is mediocre, but it serves its purpose.",2
"The staff were unhelpful, and I waited hours for assistance.",0
"The performance of this laptop is excellent for its price.",4
"The keyboard is sturdy, but the keys are unresponsive at times.",2
"The garden was breathtaking, and the tour guide was very knowledgeable.",4
"The washing machine is noisy, and the spin cycle doesn’t work well.",1
"The fitness tracker is easy to use and has many useful features.",4
"The cable stopped working within days of purchase. Poor quality.",1
"The restaurant had great service, but the dishes lacked flavour.",2
"The speaker is loud, clear, and has a long battery life. Highly recommend!",4
"The pillows were lumpy, and I couldn’t sleep well. Terrible experience.",0
"The online platform is intuitive and offers a seamless user experience.",4
"The hotel was noisy, and I couldn't sleep at all.",0
"The delivery was on time, and the product works as expected.",4
"The game graphics are stunning, but the gameplay is repetitive.",2
"The package was lost, and the seller refused to refund me.",0
"The movie had great visuals, but the plot was predictable.",2
"The training session was engaging and highly informative.",4
"The jacket tore after just a week of use. Very disappointed.",1
"The beach was clean, and the water was crystal clear. Perfect holiday!",4
"The vacuum cleaner barely picks up dirt. Completely useless.",0
"The online service is reliable, and the interface is very user-friendly.",4
"The pasta was overcooked, but the sauce was rich and flavourful.",3
"The customer support solved my issue quickly and politely.",4
"The product arrived with missing parts. Terrible quality control.",1
"The concert was energetic, and the band played all my favourite songs.",4
"The heater takes too long to warm up and is inefficient.",1
"The book was captivating, with strong characters and an excellent story.",4
"The blender is noisy and struggles with harder ingredients.",1
"The shopping experience was smooth, and the discounts were great.",4
"The socks are comfortable, but they shrink after washing.",2
"The airline lost my luggage and offered no compensation.",0
"The streaming service has a wide selection of shows and great quality.",4
"The event was chaotic, with long lines and poor organisation.",0
"The packaging was eco-friendly and looked very professional.",4
"The Wi-Fi is slow and disconnects frequently. Very annoying.",1
"The gaming console is powerful and delivers an excellent experience.",4
"The restaurant staff were inattentive, and the food was cold.",0
"The hiking trail was scenic, with beautiful views and well-marked paths.",4
"The app is bloated with ads and crashes frequently.",0
"The smartwatch has excellent features and tracks fitness accurately.",4
"The shoes are stylish but gave me blisters after a short walk.",2
"Arrived late and didn't match the description.",0
"Absolutely love how smooth and user-friendly it is.",4
"Felt overpriced for what it offers.",1
"Exceeded expectations with its durability and design.",4
"Not happy with the service; they ignored my concerns.",0
"Works perfectly for my needs. Highly recommend it!",4
"Too complicated to set up and lacked proper instructions.",1
"Great value for the price and performs better than expected.",4
"Disappointed by the lack of features advertised.",1
"Quick response from support resolved my issue immediately.",4
"Small portions and the taste was underwhelming.",1
"Perfect for beginners and easy to learn.",4
"Stopped working after a few days of use. Frustrating.",0
"Impressed by the attention to detail in the design.",4
"Feels cheap and doesn’t work as advertised.",1
"Runs smoothly and saves me so much time.",4
"Food was decent, but the service could’ve been better.",2
"Hard to navigate and kept freezing on my phone.",0
"Gifted this to a friend, and they absolutely loved it.",4
"Took forever to arrive and came damaged.",0
"Simple to use and delivered excellent results.",4
"Colors faded quickly, and it lost its appeal.",1
"Effortless to set up and works as described.",4
"Customer support is unhelpful and dismissive.",0
"Packed with features that are easy to explore.",4
"Not worth the hype; better alternatives are available.",1
"Made my workflow so much easier and efficient.",4
"Packaging was bad, but the product itself is top-notch.",3
"Kept crashing and freezing, making it unusable.",0
"Feels sturdy and well-made. Totally worth it.",4
"Arrived broken, and the replacement process was a hassle.",0
"Simple, elegant, and does exactly what I needed.",4
"Overpriced for the mediocre quality it delivers.",1
"Really impressed with the battery life on this device.",4
"Missing key components, and customer support didn’t help.",0
"Got compliments on this everywhere I went. Love it!",4
"Broke after one use. Very disappointing.",0
"Perfect addition to my daily routine. Couldn’t be happier.",4
"Misleading description and terrible build quality.",0
"Surprisingly fast delivery, and it works great.",4
"Couldn’t figure out how to use it, and the manual was useless.",1
"Lightweight, portable, and incredibly easy to handle.",4
"Made with cheap materials that didn’t last long.",1
"Fits perfectly and feels super comfortable.",4
"Did not live up to my expectations. Waste of money.",0
"An excellent choice for anyone looking for reliability.",4
"Fails to perform under heavy use. Not recommended.",1
"Great aesthetic appeal and highly functional.",4
"Completely stopped working after two weeks.",0
"Everything about this screams quality and attention to detail.",4
"Unimpressed with the performance given the price.",1
"Received so many compliments after using this.",4
"Glitches frequently and doesn’t do what it promises.",0
"Exceeded my expectations in every way possible.",4
"Setup was confusing, but it’s working fine now.",2
"Feels luxurious and performs like a premium product.",4
"Not intuitive at all. Frustrated trying to figure it out.",1
"Highly recommend this for anyone on the fence.",4
"Looks good, but it’s not durable at all.",1
"Completely changed my daily routine for the better.",4
"Stopped working almost immediately after unboxing.",0
"Compact and efficient, perfect for small spaces.",4
"Instructions were unclear, and assembly was frustrating.",1
"Fast delivery and everything came as promised.",4
"Feels flimsy and poorly constructed. Not worth it.",1
"Excellent product, exceeded all my expectations.",4
"Annoyed by the constant issues and lack of support.",0
"Perfect gift idea! My friend absolutely loved it.",4
"Overheats quickly and becomes unusable.",0
"Beautifully designed and works like a charm.",4
"Way too expensive for what it offers. Regret buying it.",1
"Smooth transaction and exceptional performance.",4
"Keeps crashing during use, making it unreliable.",0
"Works exactly as advertised and looks great too.",4
"Discoloured after just one use. Very disappointing.",1
"Helps me stay organised and productive throughout the day.",4
"Shipped in terrible condition with dents all over.",0
"Super lightweight and easy to carry around.",4
"Struggles to perform even basic functions. Terrible experience.",0
"Offers great value and functionality for the price.",4
"Requires frequent maintenance and is inconvenient to use.",1
"Impressive quality and attention to detail throughout.",4
"Fell apart after just a few uses. Complete waste of money.",0
"Intuitive design makes it easy to get started right away.",4
"Completely unreliable under high demand situations.",0
"Fits my needs perfectly and looks amazing in my space.",4
"Failed to deliver on its promises. Would not buy again.",1
"Arrived in perfect condition and works wonderfully.",4
"Nothing but problems since day one. Avoid this product.",0
"Does the job well and looks stylish while doing it.",4
"Took forever to ship and wasn’t worth the wait.",1
"Easy to use and saved me so much time.",4
"Broke down within the first month of using it.",0
"Great build quality and feels premium to the touch.",4
"Overcomplicated design makes it frustrating to use.",1
"Love how compact and efficient this is. Highly recommend!",4
"Completely stopped working after a couple of uses.",0
"Perfect for beginners and works exactly as described.",4
"Terrible experience with the customer service team.",0
"Surprisingly affordable for the quality it provides.",4
"Expected more based on the reviews. Quite disappointed.",1
"Flawless experience from purchase to daily use.",4
"Feels cheap and doesn’t perform as expected.",1
"Exceeded all my expectations. Will be buying more!",4
"Performance is inconsistent and unreliable. Waste of money.",0
"Perfect for gifting. Everyone I gave it to loved it!",4
"Assembly took hours, and parts were missing.",1
"Stunning design with exceptional functionality.",4
"Doesn’t live up to the hype. Regret buying it.",1
"Been using it daily, and it’s held up great so far.",4
"Unacceptable quality for the price I paid.",0
"Super simple to set up and works perfectly.",4
"Parts started falling apart after a week of use.",0
"Really happy with the durability and performance.",4
"Poorly designed and impossible to clean properly.",1
"Absolutely amazing! I can't recommend it enough.",4
"Terrible product. Completely useless and a waste of money.",0
"Works great and exceeded my expectations.",4
"Doesn't do what it claims to do. Very disappointing.",1
"Affordable and performs better than I expected.",4
"Arrived late and was missing several important parts.",0
"Reliable and easy to use. Perfect for everyday needs.",4
"Quality is subpar, and it broke after a few uses.",1
"Fantastic purchase! Everything about it is perfect.",4
"Packaging was damaged, and the product was scratched.",1
"Lightweight, efficient, and worth every penny.",4
"Complicated to use and not user-friendly at all.",1
"Exceeded expectations in both performance and design.",4
"Stopped working within the first few days. Avoid this.",0
"Very intuitive and offers great functionality.",4
"Not worth the price. Poor quality and bad service.",1
"Received many compliments on this! Love it.",4
"Paint started chipping off after just a week.",1
"Super convenient and exactly what I needed.",4
"Unreliable and fails to work half the time.",0
"Perfect for travel! Compact and very durable.",4
"Assembly instructions were missing, making it difficult to set up.",1
"Really happy with the performance and build quality.",4
"Returned it immediately. It didn't meet my expectations.",0
"Works flawlessly and looks amazing.",4
"Terrible customer support. They ignored all my queries.",0
"Great addition to my collection. Highly satisfied!",4
"Broke after minimal use. Poorly constructed.",1
"Very practical and makes my life so much easier.",4
"Shipping was fast, but the product itself was disappointing.",1
"Absolutely love it! Worth every penny.",4
"Doesn't even turn on. Completely broken.",0
"Very efficient and easy to use. Highly recommend!",4
"Overhyped and underwhelming. Not worth the money.",1
"Great features and excellent performance.",4
"Item arrived damaged and was unusable.",0
"Perfect size and works exactly as I hoped.",4
"Material feels cheap, and it broke on first use.",1
"Highly satisfied with the quality and functionality.",4
"Misleading description. Not what I expected.",1
"Setup was quick and simple, and it works flawlessly.",4
"Stopped working within days, and support was unhelpful.",0
"Looks great and performs even better. Amazing product!",4
"Very poor build quality for the price.",1
"Works perfectly and arrived earlier than expected.",4
"Too many glitches and issues. Would not recommend.",0
"Solid and reliable. Perfect for everyday use.",4
"Not as described, and the performance is subpar.",1
"Exceeded my expectations in every way.",4
"Broke apart after minimal use. Terrible experience.",0
"Great value for money. Will definitely buy again.",4
"Instructions were vague, making it hard to assemble.",1
"Exceptional quality and feels very premium.",4
"Arrived late, and the product looks used.",0
"User-friendly and delivers excellent results.",4
"Doesn’t live up to the positive reviews I read.",1
"Stylish, functional, and easy to maintain.",4
"Frequently stops working and needs resetting.",0
"Perfect for my needs. Couldn’t be happier!",4
"Felt overpriced for what it actually offers.",1
"Fits perfectly and looks great in my living room.",4
"Failed after just two uses. Very disappointed.",0
"Easy to clean and works exactly as expected.",4
"Not durable at all; fell apart within a month.",1
"Fantastic for beginners and very intuitive to use.",4
"Delivery took too long, and the product was damaged.",0
"Super lightweight and easy to carry around.",4
"Poor design and uncomfortable to use for extended periods.",1
"Exactly what I needed! Exceeded all my expectations.",4
"Quality is terrible, and the material feels cheap.",0
"Has made my daily tasks so much more efficient.",4
"Overheats constantly, making it unusable.",1
"Highly recommend to anyone looking for something reliable.",4
"Assembly was a nightmare, and parts were missing.",0
"Great product at a very reasonable price.",4
"Fails to deliver on any of the advertised features.",1
"Looks amazing and performs even better.",4
"Started malfunctioning within the first week.",0
"Perfect for gifting. Everyone I’ve given it to loves it!",4
"Very frustrating experience from start to finish.",0
"Superb quality and worth every penny.",4
"Doesn’t work as described, and support is unhelpful.",1
"Arrived quickly and works like a charm.",4
"Poorly made and completely unreliable.",0
"An absolute game-changer for me. Highly satisfied!",4
"Not worth the price, considering the mediocre performance.",1
"Compact, durable, and incredibly efficient.",4
"Glitches frequently and requires constant restarting.",0
"Exceeded expectations with its design and functionality.",4
"Too complicated for casual use and lacks proper documentation.",1
"Works flawlessly and has a sleek design.",4
"Completely useless and stopped working after a day.",0
"Perfect choice for anyone looking for quality and reliability.",4
"Very poor performance and lacks the promised features.",1
"Impressive build quality and easy to set up.",4
"Arrived defective, and the replacement process was awful.",0
"Really pleased with this purchase! Highly recommend it.",4
"Not worth the hassle; it’s more trouble than it’s worth.",1
"Performs exceptionally well, even under heavy use.",4
"Feels cheap and started falling apart almost immediately.",0
"Changed the way I work. So much more productive now.",4
"Doesn’t match the description and feels like a scam.",0
"Fantastic design and outstanding functionality.",4
"Delivery took forever, and the item was broken on arrival.",0
"Highly durable and works like a dream. Love it!",4
"Terrible quality and even worse customer service.",0
"Exceeded my expectations. Would absolutely buy again.",4
"The app is buggy and crashes all the time.",0
"Great for the price, and it does the job well.",4
"Assembly was overly complicated, and instructions were unclear.",1
"Very stylish and fits perfectly in my home.",4
"Overpriced and underdelivers on every level.",1
"Couldn’t be happier with this purchase. Amazing product!",4
"Broke after just a week. Total waste of money.",0
"Super efficient and exactly what I needed.",4
"The product feels rushed and poorly designed.",1
"Delivery was fast, and the product works perfectly.",4
"Completely unreliable and keeps breaking down.",0
"One of the best purchases I’ve ever made. Highly satisfied.",4
"Requires constant maintenance and is too difficult to use.",1
"Absolutely love this! It’s been a lifesaver.",4
"Broke within hours of use. Extremely disappointed.",0
"Great product, exactly as described. Very happy!",4
"Feels flimsy and not at all durable.",1
"Super easy to use and incredibly convenient.",4
"Misleading description and doesn’t do what it promises.",0
"Works better than expected. Totally worth it.",4
"Terrible experience; I wouldn’t recommend this to anyone.",0
"Fantastic quality and arrived faster than expected.",4
"Stopped functioning after a few days. Complete waste.",0
"Really impressed with the performance and design.",4
"Overcomplicated and hard to use for no reason.",1
"Exceptional value for the price. Highly recommend.",4
"Arrived late and was missing essential parts.",0
"Looks amazing and works perfectly for my needs.",4
"Not worth the price at all. Very disappointing.",1
"Perfect for beginners and very straightforward to use.",4
"Glitchy and unreliable, making it unusable.",0
"Received so many compliments. Love it!",4
"Assembly was a nightmare, and it still doesn’t work properly.",0
"Exceeded my expectations in terms of quality and functionality.",4
"The quality is poor, and it broke almost immediately.",1
"Arrived in pristine condition and works wonderfully.",4
"Fails to deliver on any of the promised features.",0
"Compact, stylish, and very effective. Perfect!",4
"Stopped working without any warning. Frustrating.",0
"Highly recommend to anyone looking for this kind of product.",4
"Not intuitive and comes with very poor instructions.",1
"Very durable and holds up well under heavy use.",4
"The worst product I’ve ever bought. Do not buy this.",0
